Date,Bank_Rate
2000-03-31,5.8671875
2000-06-30,6.0
2000-09-30,6.0
2000-12-31,6.0
2001-03-31,5.85546875
2001-06-30,5.364754098360656
2001-09-30,5.0546875
2001-12-31,4.23046875
2002-03-31,4.0
2002-06-30,4.0
2002-09-30,4.0
2002-12-31,4.0
2003-03-31,3.8492063492063493
2003-06-30,3.75
2003-09-30,3.526923076923077
2003-12-31,3.6484375
2004-03-31,3.90625
2004-06-30,4.221311475409836
2004-09-30,4.653846153846154
2004-12-31,4.75
2005-03-31,4.75
2005-06-30,4.75
2005-09-30,4.592307692307692
2005-12-31,4.5
2006-03-31,4.5
2006-06-30,4.5
2006-09-30,4.66015625
2006-12-31,4.888888888888889
2007-03-31,5.22265625
2007-06-30,5.397540983606557
2007-09-30,5.73828125
2007-12-31,5.6875
2008-03-31,5.354838709677419
2008-06-30,5.027777777777778
2008-09-30,5.0
2008-12-31,3.3671875
2009-03-31,1.0714285714285714
2009-06-30,0.5
2009-09-30,0.5
2009-12-31,0.5
2010-03-31,0.5
2010-06-30,0.5
2010-09-30,0.5
2010-12-31,0.5
2011-03-31,0.5
2011-06-30,0.5
2011-09-30,0.5
2011-12-31,0.5
2012-03-31,0.5
2012-06-30,0.5
2012-09-30,0.5
2012-12-31,0.5
2013-03-31,0.5
2013-06-30,0.5
2013-09-30,0.5
2013-12-31,0.5
2014-03-31,0.5
2014-06-30,0.5
2014-09-30,0.5
2014-12-31,0.5
2015-03-31,0.5
2015-06-30,0.5
2015-09-30,0.5
2015-12-31,0.5
2016-03-31,0.5
2016-06-30,0.5
2016-09-30,0.3423076923076923
2016-12-31,0.25
2017-03-31,0.25
2017-06-30,0.25
2017-09-30,0.25
2017-12-31,0.4087301587301587
2018-03-31,0.5
2018-06-30,0.5
2018-09-30,0.66015625
2018-12-31,0.75
2019-03-31,0.75
2019-06-30,0.75
2019-09-30,0.75
2019-12-31,0.75
2020-03-31,0.61171875
2020-06-30,0.1
2020-09-30,0.1
2020-12-31,0.1
2021-03-31,0.1
2021-06-30,0.1
2021-09-30,0.1
2021-12-31,0.1234375
2022-03-31,0.45634920634920634
2022-06-30,0.9583333333333334
2022-09-30,1.6171875
2022-12-31,2.8055555555555554
2023-03-31,3.85546875
2023-06-30,4.458333333333333
2023-09-30,5.16015625
2023-12-31,5.25
2024-03-31,5.25
2024-06-30,5.25
2024-09-30,5.088461538461538
2024-12-31,4.85546875
2025-03-31,4.599206349206349
2025-06-30,4.348360655737705
2025-09-30,4.1038461538461535
2025-12-31,3.96875
2026-03-31,3.75
2026-06-30,3.75
2026-09-30,3.75
